state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
Uttar Pradesh,Rampur Bypass Road,Nil,28.747608674500384,79.04347155070869,2022-07-16,Saturday,2022-07-17,July,Bus,Truck,5,22,,,OR,Head On Collision
Karnataka,Kirimanjeshwara,Nil,13.772641713352378,74.63597248633671,2022-07-17,Sunday,2022-07-18,July,Two Wheeler,Divider,2,0,"19,18",Male,NH,Fixed Object Collision
Chhattisgarh,Patan,Nil,21.037069311134164,81.54797912885542,2022-07-16,Saturday,2022-07-18,July,Two Wheeler,Truck,2,0,"27,20",Male,SH,Hit From Back
Goa,Khandepar,Nil,15.460091179207677,74.0477027181453,2022-07-17,Sunday,2022-07-18,July,Two Wheeler,Truck,1,0,55,Male,SH,Head On Collision
Madhya Pradesh,Punjapura,Nil,22.542103844573163,76.36552318518942,2022-07-16,Saturday,2022-07-18,July,Two Wheeler,Truck,3,0,"26,22,22",Male,SH,Head On Collision
Madhya Pradesh,AB Road,Indore,22.64647852782518,75.81923095698617,2022-07-16,Saturday,2022-07-18,July,Car,Pillar,1,1,,Male,NH,Fixed Object Collision
Maharashtra,Nimbhora,Nil,20.566339609707647,75.34861140653604,2022-07-17,Sunday,2022-07-18,July,Two Wheeler,SUV,6,1,,,OR,Others
Karnataka,JP Nagar,Bengaluru,12.90643040933182,77.58193692990942,2022-07-17,Sunday,2022-07-18,July,Two Wheeler,Two Wheeler,1,1,26,Male,OR,Hit From Side
West Bengal,Parnasree Palli,Kolkata,22.5122597969544,88.3034103410675,2022-07-18,Monday,2022-07-19,July,Car,Wall,1,0,25,Male,OR,Fixed Object Collision
Madhya Pradesh,Narmada Bridge,Nil,22.15191688606381,75.44344933833077,2022-07-18,Monday,2022-07-19,July,Bus,River,14,20,,,NH,Vehicle Overturn
Punjab,Haibowal,Ludhiana,30.917978830521072,75.88331164964507,2022-07-17,Sunday,2022-07-19,July,Pedestrian,Car,1,0,35,Male,OR,Others
Rajasthan,Sar,Nil,26.04078202180639,72.94893981731161,2022-07-18,Monday,2022-07-20,July,Two Wheeler,SUV,2,0,"25,28",Both,OR,Head On Collision
Uttar Pradesh,Kadrabad,Nil,28.86590154001807,77.59911645209652,2022-07-18,Monday,2022-07-20,July,Two Wheeler,Car,1,1,,Male,NH,Hit From Back
Madhya Pradesh,Ratibad,Nil,23.16939589072208,77.32072581025423,2022-07-18,Monday,2022-07-21,July,Two Wheeler,Divider,1,0,32,Male,OR,Fixed Object Collision
Madhya Pradesh,Baerkhadi,Nil,23.171686885470024,77.33628858269633,2022-07-19,Tuesday,2022-07-21,July,Two Wheeler,Unidentified,1,0,22,Male,OR,Hit and Run
Karnataka,Shiroor Toll Plaza,Nil,13.933637241943956,74.5967215030597,2022-07-20,Wednesday,2022-07-21,July,Ambulance,Pole,4,4,"45,40,42,32",Both,NH,Fixed Object Collision
Punjab,Gholu Majra,Nil,30.53476289307007,76.81639741792141,2022-07-20,Wednesday,2022-07-21,July,Pedestrian,Unidentified,1,0,45,Female,NH,Hit and Run
Haryana,Sector 53-54 MetroStation,Nil,28.446242423612645,77.10038284401469,2022-07-20,Wednesday,2022-07-22,July,Car,Pillar,1,0,27,Female,OR,Fixed Object Collision
Haryana,Naugaja Peer,Nil,30.16337991927405,76.86375481675898,2022-07-22,Friday,2022-07-22,July,Car,Unidentified,2,1,,Both,NH,Hit and Run
Karnataka,Yelahanka,Nil,13.11764235472505,77.6084193444187,2022-07-21,Thursday,2022-07-22,July,Car,Bus,1,0,21,Male,NH,Head On Collision
Uttar Pradesh,Badar Chowk,Nil,27.541229923475036,78.04514179668632,2022-07-23,Saturday,2022-07-23,July,Pedestrian,Truck,5,1,"28,30,30,30,45",Male,NH,Hit and Run
Haryana,Punhana,Nil,27.8674332750505,77.20858812005018,2022-07-22,Friday,2022-07-23,July,Auto Rickshaw,Crane,7,2,,,SH,Hit From Side
Karnataka,Kammanahalli,Bengaluru,13.016208327972446,77.63675817714716,2022-07-22,Friday,2022-07-23,July,Pedestrian,Truck,1,0,2,Female,OR,Hit and Run
Karnataka,Bhanapur,Nil,15.386566923949273,76.03987461744937,2022-07-23,Saturday,2022-07-24,July,SUV,Unidentified,5,4,"60,55,35,25,35",Both,OR,Hit and Run
Andhra Pradesh,Kothakotta,Nil,13.3958876290453,79.09851659006976,2022-07-24,Sunday,2022-07-24,July,Car,Divider,3,4,"29,26,30",Male,NH,Fixed Object Collision
Jammu and Kashmir,Samba Bus Stand,Nil,32.55962497902188,75.12050899406216,2022-07-22,Friday,2022-07-24,July,Car,Truck,4,15,"40,8,5,5",Both,NH,Others
Himachal Pradesh,Satrundi,Nil,32.99261617636575,76.21056273695888,2022-07-24,Sunday,2022-07-24,July,Car,Gorge,5,2,,,SH,Vehicle Overturn
Tamil Nadu,Mahabalipuram,Nil,12.620941197699866,80.19824093048054,2022-07-24,Sunday,2022-07-25,July,Auto Rickshaw,Car,2,0,"52,55",Male,OR,Others
Bihar,Ramdiri,Nil,25.371896452462543,86.10590302703326,2022-07-23,Saturday,2022-07-25,July,Bicycle,Unidentified,1,0,55,Male,OR,Hit and Run
Bihar,Jhamatia,Nil,25.54979123241156,85.8645034581247,2022-07-23,Saturday,2022-07-25,July,Two Wheeler,Truck,2,1,,Male,OR,Others
Madhya Pradesh,Bamhani,Nil,22.475812300533164,80.36759789701637,2022-07-23,Saturday,2022-07-25,July,Pedestrian,Bus,2,3,"2,26",Female,NH,Hit and Run
Uttar Pradesh,Barabanki,Nil,26.927293576261384,81.2001030162083,2022-07-25,Monday,2022-07-25,July,Bus,Bus,8,18,"42,33,25,23,17,24",Both,SH,Head On Collision
Maharashtra,Mann Road,Nil,18.5789767064195,73.71740025919915,2022-07-22,Friday,2022-07-25,July,Two Wheeler,Bus,2,0,"33,28",Male,OR,Others
Delhi,Nangli Puna,Delhi,28.771698294788195,77.1438149431766,2022-07-25,Monday,2022-07-25,July,Car,Bus,3,2,"27,32,62",Female,NH,With Parked Vehicle
Madhya Pradesh,RTO Office Bilkhiriya,Bhopal,23.26708093704509,77.51617118103837,2022-07-24,Sunday,2022-07-26,July,Two Wheeler,Unidentified,1,0,50,Male,NH,Hit and Run
Madhya Pradesh,Megra Kalan,Nil,23.68012387221936,77.46032132791763,2022-07-24,Sunday,2022-07-26,July,Two Wheeler,Unidentified,1,0,22,Male,SH,Hit and Run
Kerala,Koothattukulam,Nil,9.860746543042406,76.59740276583467,2022-07-20,Wednesday,2022-07-26,July,Two Wheeler,Pole,1,0,18,Male,SH,Fixed Object Collision
Madhya Pradesh,Bilkhiriya,Nil,23.25607318541481,77.58298153658785,2022-07-24,Sunday,2022-07-26,July,Two Wheeler,Unidentified,1,0,50,Male,NH,Hit and Run
Madhya Pradesh,Megraa,Nil,23.681334215884217,77.46066505698248,2022-07-24,Sunday,2022-07-26,July,Two Wheeler,Car,1,0,26,Male,SH,Hit and Run
Andhra Pradesh,Kurnool Ring Road,Nil,15.76198197629128,78.0205006532582,2022-07-27,Wednesday,2022-07-27,July,Car,Truck,3,3,,Both,NH,Hit From Back
Karnataka,BTM Layout,Bengaluru,12.916371907451651,77.61697348578028,2022-07-26,Tuesday,2022-07-27,July,Two Wheeler,Unidentified,1,1,33,Male,OR,Hit and Run
Uttar Pradesh,Masuri,Nil,28.68880790698141,77.55244731315047,2022-07-26,Tuesday,2022-07-27,July,Two Wheeler,Divider,3,0,,Male,NH,Fixed Object Collision
Uttar Pradesh,Bamheta,Ghaziabad,28.649244391742904,77.46967064490445,2022-07-26,Tuesday,2022-07-27,July,Two Wheeler,Divider,1,0,20,Male,NH,Fixed Object Collision
Uttarakhand,Jakhol,Nil,30.389988368796864,78.89482852209672,2022-07-26,Tuesday,2022-07-28,July,Pick Up,Gorge,1,4,12,Male,OR,Vehicle Overturn
Bihar,Chandrama Chowk,Nil,25.577565237623467,87.579481648749,2022-07-26,Tuesday,2022-07-28,July,Two Wheeler,Bus,1,1,31,Male,NH,Others
Himachal Pradesh,Hiranagar,Nil,31.11314530900269,77.10432524742168,2022-07-27,Wednesday,2022-07-28,July,Bus,Gorge,1,22,30,Male,NH,Run Off Road
Tamil Nadu,Acharapakkam,Nil,12.407262812658416,79.81736834538259,2022-07-27,Wednesday,2022-07-28,July,Two Wheeler,Truck,2,0,"16,17",Male,NH,Head On Collision
Uttar Pradesh,Naraini,Nil,25.1871453775912,80.47401054681619,2022-07-29,Friday,2022-07-29,July,Auto Rickshaw,SUV,6,7,,,SH,Head On Collision
Rajasthan,Udairamsar,Nil,27.933038901856406,73.29090523704126,2022-07-29,Friday,2022-07-29,July,Two Wheeler,Truck,3,0,"21,23,24",Male,OR,Hit From Back
Rajasthan,Salasar Highway,Nil,28.004360488461323,74.94392415519748,2022-07-28,Thursday,2022-07-29,July,Two Wheeler,SUV,1,0,35,Male,NH,Others
Uttar Pradesh,Kinhauli,Nil,27.01673689850753,81.33913243597577,2022-07-30,Saturday,2022-07-30,July,Two Wheeler,Two Wheeler,5,0,"18,24,30,23,22",Male,OR,Head On Collision
Tamil Nadu,Chinnar Bridge,Nil,10.353407760645622,77.2196448074345,2022-07-30,Saturday,2022-07-30,July,Bus,Truck,2,3,"40,40",Male,SH,With Parked Vehicle
Haryana,Sector 12 Panchkula,Nil,30.67837434350798,76.86002240403681,2022-07-30,Saturday,2022-07-31,July,Two Wheeler,Truck,2,1,,,NH,Hit From Back
